"trick","obstacledetail","obstacle","cnt"
"fakie ollie to sw fs crook","plain jane","ledge",1
"fakie shuv to fakie manny to sw bs lipslide","pad to ledge","pad",1
"fs 180 to sw bs crook to normal","plain jane","ledge",1
"fs 180 to sw fs 5-0","plain jane","hubba",1
"fs 180 to sw fs 5-0 to sw bs 180","outledge","ledge",1
"fs 180 to sw fs nosegrind","outledge","ledge",1
"fs 180 to sw manny to sw bs wallride to bs revert","to wall","pad",1
"fs 5-0","outledge","ledge",1
"fs 5-0 to kickflip","plain jane","ledge",1
"fs 5050","around corner","handrail",1
"fs 5050","bank to rail","flat rail",1
"fs 5050","bump to bar to ledge","ledge",1
"fs 5050","into bank","flat rail",2
"fs 5050","keyhole","flat rail",1
"fs 5050","on chains","transition",1
"fs 5050","quad kink","handrail",1
